"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100507616",0.05065,0.00675
"100507629",-0.1611,-0.0222
"100507632",0.8205,0.5786
"100507634",-0.05245,0.01765
"100507650",0.0406,0.1228
"100507670",0.0997,0.1692
"100508631",-0.1844,-0.1495
"10051",0.630266666666667,-0.3049
"10052",-0.068475,-0.2158
"100526820",-0.4299,-0.3521
"100527964",0.2541,-0.1959
"100528062",0.0504,0.4575
"10053",-0.1905,-0.00475
"100533106",0.2861,0.2812
"100533178",0.0558,0.0212
"100533182",-0.092,-0.165
"100533184",-0.2167,0.0174
"100533789",0.0645,0.1259
"10054",-0.41235,0.17635
"10055",-0.8786,-0.2698
"10056",0.409675,-0.022325
"10057",-0.16465,-0.19365
"10058",0.6368,0.2227
"10059",-0.6482,-0.16695
"1006",-0.0352333333333333,-0.1697
"10060",-0.04695,-0.00165
"10061",0.189133333333333,0.387266666666667
"100616668",-0.19365,-0.17625
"10062",0.4891,0.4102
"100628307",0.3075,0.1925
"100628315",1.6366,-0.0797
"10063",0.7484,0.553
"100630918",-0.0446,0.0489
"100631378",-0.05935,-0.0043
"100642175",0.1492,-0.35
"100652740",0.1249,-0.0164
"100652768",-0.0949,0.0489
"100652770",-0.01,0.3436
"100652772",-0.3508,0.266
"100652791",-0.0843,0.0318
"100652824",-0.1179,-0.0236
"100652853",0.3383,0.3921
"100652856",-0.2918,-0.06345
"100652857",0.1052,0.1133
"100652911",0.2622,0.0794
"100652929",-0.341,0.016
"100652999",-0.0491,-0.0713
"10066",-0.65025,-0.04005
"10067",0.3796,0.2194
"10068",0.28505,0.16565
"100689073",-0.01235,0.02555
"100689074",0.0564,0.0074
"10069",0.2364,0.4922
"1007",-0.1122,0.0133
"10071",-0.0116,5e-04
"10072",-0.38595,-0.1701
"10073",-0.1789,0.1416
"10075",-0.064525,-0.054
"10076",0.0935,0.0825
"10077",-0.1311,-0.0623
"10078",-0.0612,-0.0257
"10079",-0.6089,-1.0084
"1008",-0.8109,-1.6032
"10081",-0.4349,0.0366
"10082",-1.10995,0.0684
"100820829",-0.0153,0.3309
"10083",-0.0595,0.02105
"10084",-0.30505,-0.11195
"100847062",-0.1979,-0.0276
"10085",3.15866666666667,1.3827
"100852407",-0.2105,-0.0482
"100852408",0.0186,0.2115
"100852409",-0.0364,0.1212
"100859921",-0.1545,-0.0733
"100859930",0.0829,0.0632
"10086",-0.1979,-0.02815
"100861523",-0.176,0.0773
"100861541",0.3192,0.258
"100861543",-0.1434,0.0035
"100861544",-0.0307,-0.0039
"100861545",-0.1961,-0.078
"100861546",-0.0062,0.0185
"100861547",-0.0799,-0.053
"100861548",0.9258,-0.2526
"100861552",-0.0442,-0.0205
"100861553",-0.0805,0.0093
"100861554",-0.1402,-0.1452
"100861555",-0.0432,0.0105
"100861573",-0.2866,-0.1214
"100862662",-0.2151,0.0385
"100862671",-0.19855,-0.0017
"100862679",-0.1332,-0.0052
"100862680",-0.1162,-0.1403
"100862704",-0.0289,0.0763
"10087",-0.936725,-0.3305
"100873923",0.1093,0.0836
"100873930",-0.1578,-0.0235
"100873942",0.3349,0.2272
"100873954",0.2265,0.1439
"100873964",-0.0124,0.0986
"100873979",1.422,1.3207
"100873985",-0.0136,-0.0015
"100874012",-0.1077,0.1105
"100874014",-0.191,0.1592
"100874018",-0.1448,-0.1153
"100874021",-0.1133,-0.1328
"100874032",0.4993,0.7224
"100874034",0.1297,-0.1463
"100874035",-0.1465,0.0068
"100874038",0.066,-0.0335
"100874051",-0.2925,-0.0088
"100874063",0.0017,-0.0343
"100874068",0.01995,0.01405
"100874069",0.272,0.031
"100874074",0.1397,0.0544
"100874107",-0.1406,0.0889
"100874110",-0.2354,-0.5084
"100874143",-0.2455,-0.049
"100874167",-0.1108,-0.0599
"100874178",-0.0385,-0.0361
"100874180",-0.1286,-0.0632
"100874182",0.0338,0.001
"100874187",-0.1081,-0.0479
"100874194",-0.0516,-0.018
"100874195",-0.0311333333333333,-0.0074
"100874198",-0.0314,0.0621
"100874205",-0.0614,-0.0149666666666667
"100874238",-0.4522,-0.2619
"100874239",0.0485,-0.0218
"100874241",-0.1763,-0.0326
"100874243",0.0346,-0.0872
"100874251",-0.0088,-0.0585
"100874253",-0.1161,-0.037
"100874291",0.3633,0.2192
"100874292",0.0472,0.0691
"100874305",-0.1562,-0.0142
"100874309",-0.1171,0.0159
"100874314",-0.0033,0.0988
"100874323",0.14,0.0649
"100874362",-0.3795,0.3591
"100874375",-0.0623,-0.0342
"100874433",0.0431,0.0188
"100885775",0.1823,0.1154
"100885778",0.187,0.0665
"100885781",0.2083,0.1698
"100885798",-0.0485,0.0909
"100885848",-0.2504,-0.0258
"10089",-0.1063,0.0690666666666667
"1009",2.15105,1.712875
"10090",0.04915,0.20425
"10092",0.156633333333333,-0.0857666666666667
"10093",-0.07635,-0.1502
"10094",0.0932,0.1982
"10095",2.0807,1.4229
"10096",0.1459,-0.05525
"10097",-0.14408,-0.03698
"10098",-0.0221666666666667,-0.122766666666667
"10099",-0.72744,-0.10034
"100996246",0.0083,-0.1504
"100996251",0.2956,0.0342
"100996279",-0.1156,0.0867
"100996280",-0.2018,-0.0773
"100996286",-0.1996,-0.0225
"100996295",-0.0773,-0.0344
"100996301",-0.00905,0.05245
"100996307",-0.1577,0.0699
"100996342",-0.0669,0.0208
"100996345",-0.1868,0.046
"100996385",0.2586,0.1867
"100996425",-0.013,-0.0718
"100996455",0.1018,0.103
"100996485",-0.0123,0.0414
"100996490",-0.4386,-0.6046
"100996492",-0.6099,0.5631
